id,name,popularity,album_name,release_date,duration_ms,explicit,artist_name,duration_min
2wAiFWjRupWmnDkQcu91MF,rumah ke rumah,82,menari dengan bayangan,2019-11-29,277457,False,hindia,4.62
7J0isBrUxhIYZVdrBOOlIh,cincin,79,lagipula hidup akan berakhir,2023-07-07,266330,False,hindia,4.44
2dIBMHByUGcNPzmYBJ6OAj,evaluasi,79,menari dengan bayangan,2019-11-29,194469,False,hindia,3.24
5drW6PGRxkE6MxttzVLNk5,secukupnya,78,menari dengan bayangan,2019-11-29,205466,False,hindia,3.42
5DqSZFvWvSWg5eyCDi0CuW,kita ke sana,75,lagipula hidup akan berakhir,2023-07-21,282675,False,hindia,4.71
63VnhcHMnTPCcd24oVajL6,semua lagu cinta terdengar sama,74,"doves, '25 on blank canvas",2025-02-24,238514,False,hindia,3.98
3CBxVM0zGj41BQtE6m7gwb,membasuh,73,menari dengan bayangan,2019-11-29,373824,False,hindia,6.23
5WOSNVChcadlsCRiqXE45K,everything u are,73,"doves, '25 on blank canvas",2025-02-24,236489,False,hindia,3.94
2SmKwCCSiUTjtR8I8rv6MS,"berdansalah, karir ini tak ada artinya",71,lagipula hidup akan berakhir,2023-07-21,224418,False,hindia,3.74
1bcIiU5FWRa2IYBqx0bk67,evakuasi,70,menari dengan bayangan,2019-11-29,208000,False,hindia,3.47
1BxfuPKGuaTgP7aM0Bbdwr,cruel summer,89,lover,2019-08-23,178426,False,taylor swift,2.97
2OzhQlSqBEmt7hmkYxfT6m,fortnight (feat. post malone),84,the tortured poets department,2024-04-18,228965,False,taylor swift,3.82
4R2kfaDFhslZEMJqAFNpdd,cardigan,85,folklore,2020-07-24,239560,False,taylor swift,3.99
1dGr1c8CrMLDpV6mPbImSI,lover,85,lover,2019-08-23,221306,False,taylor swift,3.69
3hUxzQpSfdDqwM3ZTFQY0K,august,84,folklore,2020-07-24,261922,False,taylor swift,4.37
4q5YezDOIPcoLr8R81x9qy,i can do it with a broken heart,82,the tortured poets department,2024-04-18,218004,True,taylor swift,3.63
1u8c2t2Cy7UBoG4ArRcF5g,blank space,82,1989 (deluxe),2014-01-01,231826,False,taylor swift,3.86
55n9yjI6qqXh5F2mYvUc2y,i don’t wanna live forever (fifty shades darker),83,reputation stadium tour surprise song playlist,2017-09-11,247160,False,zayn,4.12
1R0a2iXumgCiFb7HEZ7gUE,don’t blame me,84,reputation,2017-10-11,236413,False,taylor swift,3.94
0V3wPSX9ygBnCm8psDIegu,anti-hero,83,midnights,2022-10-21,200690,False,taylor swift,3.34
7so0lgd0zP2Sbgs2d7a1SZ,die with a smile,88,mayhem,2025-07-03,251667,False,lady gaga,4.19
4wJ5Qq0jBN4ajy7ouZIV1c,apt.,92,rosie,2024-06-12,169917,False,rosé,2.83
7BqBn9nzAq8spo5e7cZ0dJ,just the way you are,88,doo-wops & hooligans,2010-11-05,220734,False,bruno mars,3.68
3w3y8KPTfNeOKPiqUTakBh,locked out of heaven,91,unorthodox jukebox,2012-07-12,233478,False,bruno mars,3.89
0KKkJNfGyhkQ5aFogxQAPU,that's what i like,89,24k magic,2016-11-17,206693,False,bruno mars,3.44
0nJW01T7XtvILxQgC5J7Wh,when i was your man,89,unorthodox jukebox,2012-07-12,213826,False,bruno mars,3.56
161DnLWsx1i3u1JT05lzqU,talking to the moon,85,doo-wops & hooligans,2010-11-05,217866,False,bruno mars,3.63
6SKwQghsR8AISlxhcwyA9R,marry you,83,doo-wops & hooligans,2010-11-05,230192,False,bruno mars,3.84
4lLtanYk6tkMvooU0tWzG8,grenade,82,doo-wops & hooligans,2010-11-05,222091,False,bruno mars,3.7
