Provinsi,KabKot,Jenis Kelamin,Tingkat Pendidikan,Jumlah Penduduk,Latitude,Longitude
Nanggroe Aceh Darussalam,Simeulue,Jumlah Laki Laki,Tidak/Belum Tamat SD,1209,2.62818,96.0898
Nanggroe Aceh Darussalam,Simeulue,Jumlah Laki Laki,Tamat SD,9545,2.62818,96.0898
Nanggroe Aceh Darussalam,Simeulue,Jumlah Laki Laki,Tamat SLTP,6733,2.62818,96.0898
Nanggroe Aceh Darussalam,Simeulue,Jumlah Laki Laki,Tamat SLTA,6945,2.62818,96.0898
Nanggroe Aceh Darussalam,Simeulue,Jumlah Laki Laki,Tamat PT,2043,2.62818,96.0898
Nanggroe Aceh Darussalam,Aceh Singkil,Jumlah Laki Laki,Tidak/Belum Tamat SD,3407,2.439,97.9244
Nanggroe Aceh Darussalam,Aceh Singkil,Jumlah Laki Laki,Tamat SD,9897,2.439,97.9244
Nanggroe Aceh Darussalam,Aceh Singkil,Jumlah Laki Laki,Tamat SLTP,7193,2.439,97.9244
Nanggroe Aceh Darussalam,Aceh Singkil,Jumlah Laki Laki,Tamat SLTA,7430,2.439,97.9244
Nanggroe Aceh Darussalam,Aceh Singkil,Jumlah Laki Laki,Tamat PT,1941,2.439,97.9244
Nanggroe Aceh Darussalam,Aceh Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,4722,3.25638,97.213
Nanggroe Aceh Darussalam,Aceh Selatan,Jumlah Laki Laki,Tamat SD,21000,3.25638,97.213
Nanggroe Aceh Darussalam,Aceh Selatan,Jumlah Laki Laki,Tamat SLTP,16233,3.25638,97.213
Nanggroe Aceh Darussalam,Aceh Selatan,Jumlah Laki Laki,Tamat SLTA,17091,3.25638,97.213
Nanggroe Aceh Darussalam,Aceh Selatan,Jumlah Laki Laki,Tamat PT,4385,3.25638,97.213
Nanggroe Aceh Darussalam,Aceh Tenggara,Jumlah Laki Laki,Tidak/Belum Tamat SD,1925,3.59968,97.6619
Nanggroe Aceh Darussalam,Aceh Tenggara,Jumlah Laki Laki,Tamat SD,11678,3.59968,97.6619
Nanggroe Aceh Darussalam,Aceh Tenggara,Jumlah Laki Laki,Tamat SLTP,16640,3.59968,97.6619
Nanggroe Aceh Darussalam,Aceh Tenggara,Jumlah Laki Laki,Tamat SLTA,20452,3.59968,97.6619
Nanggroe Aceh Darussalam,Aceh Tenggara,Jumlah Laki Laki,Tamat PT,3834,3.59968,97.6619
Nanggroe Aceh Darussalam,Aceh Timur,Jumlah Laki Laki,Tidak/Belum Tamat SD,5746,4.56983,97.7723
Nanggroe Aceh Darussalam,Aceh Timur,Jumlah Laki Laki,Tamat SD,48224,4.56983,97.7723
Nanggroe Aceh Darussalam,Aceh Timur,Jumlah Laki Laki,Tamat SLTP,32530,4.56983,97.7723
Nanggroe Aceh Darussalam,Aceh Timur,Jumlah Laki Laki,Tamat SLTA,22810,4.56983,97.7723
Nanggroe Aceh Darussalam,Aceh Timur,Jumlah Laki Laki,Tamat PT,3227,4.56983,97.7723
Nanggroe Aceh Darussalam,Aceh Tengah,Jumlah Laki Laki,Tidak/Belum Tamat SD,3054,4.56693,96.8147
Nanggroe Aceh Darussalam,Aceh Tengah,Jumlah Laki Laki,Tamat SD,14662,4.56693,96.8147
Nanggroe Aceh Darussalam,Aceh Tengah,Jumlah Laki Laki,Tamat SLTP,15527,4.56693,96.8147
Nanggroe Aceh Darussalam,Aceh Tengah,Jumlah Laki Laki,Tamat SLTA,20298,4.56693,96.8147
Nanggroe Aceh Darussalam,Aceh Tengah,Jumlah Laki Laki,Tamat PT,4522,4.56693,96.8147
Nanggroe Aceh Darussalam,Aceh Barat,Jumlah Laki Laki,Tidak/Belum Tamat SD,2839,4.49032,96.041
Nanggroe Aceh Darussalam,Aceh Barat,Jumlah Laki Laki,Tamat SD,17579,4.49032,96.041
Nanggroe Aceh Darussalam,Aceh Barat,Jumlah Laki Laki,Tamat SLTP,15204,4.49032,96.041
Nanggroe Aceh Darussalam,Aceh Barat,Jumlah Laki Laki,Tamat SLTA,18984,4.49032,96.041
Nanggroe Aceh Darussalam,Aceh Barat,Jumlah Laki Laki,Tamat PT,4371,4.49032,96.041
Nanggroe Aceh Darussalam,Aceh Besar,Jumlah Laki Laki,Tidak/Belum Tamat SD,4109,5.35887,95.5144
Nanggroe Aceh Darussalam,Aceh Besar,Jumlah Laki Laki,Tamat SD,24789,5.35887,95.5144
Nanggroe Aceh Darussalam,Aceh Besar,Jumlah Laki Laki,Tamat SLTP,31196,5.35887,95.5144
Nanggroe Aceh Darussalam,Aceh Besar,Jumlah Laki Laki,Tamat SLTA,50852,5.35887,95.5144
Nanggroe Aceh Darussalam,Aceh Besar,Jumlah Laki Laki,Tamat PT,12270,5.35887,95.5144
Nanggroe Aceh Darussalam,Pidie,Jumlah Laki Laki,Tidak/Belum Tamat SD,6124,5.1152,95.9574
Nanggroe Aceh Darussalam,Pidie,Jumlah Laki Laki,Tamat SD,30791,5.1152,95.9574
Nanggroe Aceh Darussalam,Pidie,Jumlah Laki Laki,Tamat SLTP,36473,5.1152,95.9574
Nanggroe Aceh Darussalam,Pidie,Jumlah Laki Laki,Tamat SLTA,37339,5.1152,95.9574
Nanggroe Aceh Darussalam,Pidie,Jumlah Laki Laki,Tamat PT,7921,5.1152,95.9574
Nanggroe Aceh Darussalam,Bireuen,Jumlah Laki Laki,Tidak/Belum Tamat SD,4579,5.081,96.5974
Nanggroe Aceh Darussalam,Bireuen,Jumlah Laki Laki,Tamat SD,37044,5.081,96.5974
Nanggroe Aceh Darussalam,Bireuen,Jumlah Laki Laki,Tamat SLTP,39728,5.081,96.5974
Nanggroe Aceh Darussalam,Bireuen,Jumlah Laki Laki,Tamat SLTA,39094,5.081,96.5974
Nanggroe Aceh Darussalam,Bireuen,Jumlah Laki Laki,Tamat PT,7415,5.081,96.5974
Nanggroe Aceh Darussalam,Aceh Utara,Jumlah Laki Laki,Tidak/Belum Tamat SD,9103,4.99764,97.1454
Nanggroe Aceh Darussalam,Aceh Utara,Jumlah Laki Laki,Tamat SD,60121,4.99764,97.1454
Nanggroe Aceh Darussalam,Aceh Utara,Jumlah Laki Laki,Tamat SLTP,47568,4.99764,97.1454
Nanggroe Aceh Darussalam,Aceh Utara,Jumlah Laki Laki,Tamat SLTA,43813,4.99764,97.1454
Nanggroe Aceh Darussalam,Aceh Utara,Jumlah Laki Laki,Tamat PT,6730,4.99764,97.1454
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tidak/Belum Tamat SD,3830,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SD,14247,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SLTP,10192,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat SLTA,9460,3.78325,96.9143
Nanggroe Aceh Darussalam,Aceh Barat Daya,Jumlah Laki Laki,Tamat PT,2646,3.78325,96.9143
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tidak/Belum Tamat SD,2264,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SD,6742,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SLTP,5460,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat SLTA,5796,3.97798,97.323
Nanggroe Aceh Darussalam,Gayo Lues,Jumlah Laki Laki,Tamat PT,2065,3.97798,97.323
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tidak/Belum Tamat SD,5775,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SD,28446,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SLTP,20920,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat SLTA,23651,4.20756,98.0029
Nanggroe Aceh Darussalam,Aceh Tamiang,Jumlah Laki Laki,Tamat PT,3403,4.20756,98.0029
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tidak/Belum Tamat SD,2919,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat SD,14395,4.15452,96.5184
Nanggroe Aceh Darussalam,Nagan Raya,Jumlah Laki Laki,Tamat SLTP,12925,4.15452,96.5184
