district;school;growthstatus;pctpassingeogtests;pctfreereduced;hasstringsprogram;schoolscore;grade
Ashe County Schools;Blue Ridge Elementary;Exceeded;52.1;71.5;0;59;C
Surry County Schools;J Sam Gentry Middle;NotMet;61.2;59.2;0;63;C
Lee County Schools;Lee Early College;NotMet;67.7;50.9;0;75;B
Wake County Schools;Douglas Elementary;Met;61.6;35.7;0;64;C
Guilford County Schools;Guilford Middle;Met;50.8;73.2;0;55;C
Charter Schools;CIS Academy;Exceeded;35.3;73.1;0;46;D
Charlotte-Mecklenburg Schools;Elizabeth Lane Elementary;Met;85.4;10.6;0;85;A
Chapel Hill-Carrboro Schools;Seawell Elementary;Exceeded;83.2;24.1;0;85;A
Alexander County Schools;Taylorsville Elementary;NotMet;56.8;78.2;0;58;C
New Hanover County Schools;Holly Tree Elementary;Met;83.1;29.1;0;83;B
Cumberland County Schools;Hope Mills Middle;Exceeded;49.1;55.9;0;57;C
Brunswick County Schools;South Brunswick High;NotMet;56.1;45.7;0;69;C
Alleghany County Schools;Glade Creek Elementary;Met;58.7;71.9;0;64;C
Onslow County Schools;New Bridge Middle;Met;63.4;35.2;0;67;C
Alleghany County Schools;Alleghany High;Met;58.6;53.9;0;71;B
Bladen County Schools;Tar Heel Middle;Met;36.9;81.2;0;44;D
Cumberland County Schools;Eastover Central Elementary;Exceeded;75.9;34.6;0;79;B
Cumberland County Schools;College Lakes Elementary;Exceeded;46.6;67.9;0;55;C
Cumberland County Schools;Bill Hefner Elementary;Exceeded;53.0;62.9;0;60;C
Cumberland County Schools;Cumberland Mills Elementary;Met;51.1;78.3;0;57;C
Cumberland County Schools;Alderman Road Elementary;Met;52.0;61.6;0;58;C
Cumberland County Schools;Ed V Baldwin Elementary;Met;52.3;55.2;0;58;C
Union County Public Schools;New Town Elementary;Met;81.7;8.6;0;79;B
New Hanover County Schools;New Hanover High;NotMet;52.4;49.4;0;61;C
Cumberland County Schools;Armstrong Elementary;Met;62.6;64.4;0;67;C
New Hanover County Schools;Forest Hills Global Elementary;Met;51.5;63.9;0;57;C
New Hanover County Schools;Heyward C Bellamy Elem;Exceeded;75.6;38.8;0;78;B
New Hanover County Schools;Edwin A Anderson Elementary;Met;66.6;39.1;0;70;B
New Hanover County Schools;Edwin A Alderman Elementary;Met;45.1;75.0;0;53;D
Mooresville City Schools;Mooresville Senior High;Exceeded;71.1;33.9;0;81;B
Nash-Rocky Mount Schools;Swift Creek Elementary;NotMet;52.0;53.8;0;53;D
Nash-Rocky Mount Schools;Bailey Elementary;Exceeded;48.8;80.0;0;56;C
Nash-Rocky Mount Schools;Southern Nash High;NotMet;43.7;58.3;0;58;C
Robeson County Schools;Peterson Elementary;NotMet;30.7;77.5;0;38;F
New Hanover County Schools;Ogden Elementary;Met;88.1;16.2;0;87;A
Onslow County Schools;Parkwood Elementary;Exceeded;56.2;43.1;0;62;C
Orange County Schools;Efland Cheeks Elementary;Met;49.7;62.0;0;56;C
Orange County Schools;Pathways Elementary;NotMet;68.1;44.1;0;68;C
Onslow County Schools;Northwoods Elementary;Met;38.5;68.8;0;47;D
Pasquotank County Schools;River Road Middle;Met;44.6;60.0;0;50;D
Pender County Schools;Cape Fear Elementary;Met;45.7;66.0;0;52;D
Person County Schools;Oak Lane Elementary;Met;69.3;42.8;0;71;B
Pitt County Schools;Ayden Elementary;NotMet;56.0;68.1;0;58;C
Pitt County Schools;Junius H Rose High;Met;48.8;51.6;0;66;C
Pitt County Schools;G R Whitfield;Met;47.0;59.2;0;52;D
Randolph County Schools;Southwestern Randolph Middle;NotMet;51.7;60.9;0;55;C
Randolph County Schools;Coleridge Elementary;Exceeded;50.5;62.2;0;59;C
Randolph County Schools;Hopewell Elementary;Exceeded;74.4;42.2;0;77;B
Randolph County Schools;Southmont Elementary;NotMet;54.0;66.9;0;57;C
Randolph County Schools;Seagrove Elementary;NotMet;59.7;62.1;0;62;C
Richmond County Schools;Hamlet Middle;Exceeded;46.5;76.2;0;55;C
Randolph County Schools;Liberty Elementary;Met;49.1;66.2;0;54;D
Alamance-Burlington Schools;North Graham Elementary;NotMet;35.7;86.4;0;40;D
Charlotte-Mecklenburg Schools;Sterling Elementary;NotMet;29.4;92.9;0;37;F
Cabarrus County Schools;Mount Pleasant Middle;Exceeded;62.2;42.1;0;68;C
Charter Schools;Gaston College Preparatory;Exceeded;62.3;70.8;0;71;B
Iredell-Statesville Schools;West Iredell High;NotMet;42.1;50.0;0;58;C
Kannapolis City Schools;Jackson Park Elementary;Met;48.5;78.6;0;55;C
Avery County Schools;Avery High Viking Academy;Met;64.8;56.5;0;66;C
Avery County Schools;Avery High STEM Academy;Met;71.4;40.0;0;88;A
Gaston County Schools;Robinson Elementary;Met;58.3;48.0;0;63;C
Moore County Schools;Elise Middle;Exceeded;47.4;89.1;0;57;C
Charlotte-Mecklenburg Schools;Martin Luther King Jr Middle;Met;30.9;91.7;0;40;D
Alamance-Burlington Schools;Alamance-Burlington Middle College;N/A;0.0;44.6;0;85;A
Charlotte-Mecklenburg Schools;Jay M Robinson Middle;Exceeded;89.1;12.3;0;91;A
Scotland County Schools;Scotland Early College High;Exceeded;82.0;68.7;0;85;A
Caldwell County Schools;Gamewell Elementary;Exceeded;52.0;71.9;0;61;C
Caldwell County Schools;Hudson Elementary;Exceeded;61.5;59.3;0;67;C
Cabarrus County Schools;Wolf Meadow Elementary;Met;46.6;82.9;0;52;D
Currituck County Schools;Moyock Elementary;NotMet;68.0;24.2;0;68;C
Craven County Schools;West Craven Middle;Exceeded;47.5;67.4;0;56;C
Clay County Schools;Hayesville High;Met;57.7;45.5;0;72;B
Forsyth County Schools;Ronald W Reagan High School;NotMet;72.7;16.4;0;79;B
Guilford County Schools;The Academy at Central;Exceeded;53.0;78.4;0;72;B
Forsyth County Schools;Moore Magnet Elementary;NotMet;54.4;59.3;0;55;C
Forsyth County Schools;Old Richmond Elementary;Met;65.1;47.7;0;68;C
Pitt County Schools;Wintergreen Intermediate;Met;71.1;38.8;0;72;B
Robeson County Schools;Fairmont Middle;Exceeded;33.8;94.0;0;46;D
Union County Public Schools;Union Elementary;Met;59.9;61.3;0;65;C
Forsyth County Schools;Speas Elementary;Met;40.1;88.8;0;48;D
Forsyth County Schools;North Hills Elementary;Met;32.6;;0;41;D
Forsyth County Schools;Petree Elementary;Met;23.4;;0;35;F
Franklin County Schools;Edward Best Elementary;Exceeded;69.0;70.5;0;73;B
Forsyth County Schools;Union Cross Traditional Acad;Met;50.3;50.5;0;56;C
Franklin County Schools;Louisburg Elementary;Exceeded;42.1;80.9;0;52;D
Forsyth County Schools;West Forsyth High;Exceeded;69.7;25.7;0;81;B
Forsyth County Schools;Walkertown Middle;NotMet;40.0;64.6;0;45;D
Gaston County Schools;Ashbrook High;Exceeded;48.8;59.0;0;68;C
Martin County Schools;Rodgers Elementary;Met;48.9;59.4;0;55;C
Wake County Schools;Sanderson High;Exceeded;60.3;29.4;1;76;B
Montgomery County Schools;East Middle;Met;41.0;86.6;0;49;D
Franklin County Schools;Bunn Middle;Met;47.6;64.2;0;52;D
Guilford County Schools;Monticello-Brown Summit Elem;NotMet;58.3;59.7;0;58;C
