Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
140061-RF,Overhead Door Maintenance & Repair,Crawford Door Sales of Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/13/2014,,01/15/2019
140061-RF,Overhead Door Maintenance & Repair,Crawford Door Sales of Nevada,BID FILES,,01/13/2014,,01/15/2019
130210-SK,Automotive Batteries,"Battery Systems, Inc./SIR Investments DBA Interstate Battery of Las Vegas/Shelton Battery Inc./Elliott Auto Supply Co. Inc. DBA Factory Motor Parts",BID FILES,,01/14/2014,,11/30/2018
130210-SK,Automotive Batteries,"Battery Systems, Inc./SIR Investments DBA Interstate Battery of Las Vegas/Shelton Battery Inc./Elliott Auto Supply Co. Inc. DBA Factory Motor Parts",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/14/2014,,11/30/2018
130120-CW,Employee Assistance Program,"Behavioral Healthcare Options, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/25/2014,,12/31/2017
140088-SK,Automotive Lubricants Mutual Use Agreement,"Rebel Oil Company, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/27/2014,,
14.1762.01-JWH,Annual Crack Seal,"American Pavement Preservation, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/28/2014,,11/30/2016
14.1762.01-JWH,Annual Crack Seal,"American Pavement Preservation, LLC",BID FILES,,01/28/2014,,11/30/2016
14.1762.01-JWH,Annual Crack Seal,"American Pavement Preservation, LLC",BID FILES,,01/28/2014,,11/30/2016
140069-DG,Generator Maintenance and Repair,Loftin Equipment Company,BID FILES,,01/28/2014,09/30/2014,
140069-DG,Generator Maintenance and Repair,Loftin Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/28/2014,09/30/2014,
140095-CB,Fire Battalion Chief Examination,Hargis and Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/29/2014,,
140107-CB,Contract for Fire Prevention Fee Study,Wohlford Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/29/2014,,
140051-JH,Phase II Huntridge Neighborhood Historic Resource Survey and Inventory,"ICF Jones & Stokes, Inc.",BID FILES,,02/03/2014,,
140051-JH,Phase II Huntridge Neighborhood Historic Resource Survey and Inventory,"ICF Jones & Stokes, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/03/2014,,
140051-JH,Phase II Huntridge Neighborhood Historic Resource Survey and Inventory,"ICF Jones & Stokes, Inc.",BID FILES,,02/03/2014,,
11.1730.20-TF,CLV ITS Infrastructure Corridor 2 Rancho Drive-Sahara to Rainbow,"LLO, Inc. DBA Acme Electric",BID FILES,,02/13/2014,,
11.1730.20-TF,CLV ITS Infrastructure Corridor 2 Rancho Drive-Sahara to Rainbow,"LLO, Inc. DBA Acme Electric",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/13/2014,,
140117-TF,PSA for Brent Lane Drainage System and Trail,Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2014,,02/01/2017
140118-TF,"PSA for Las Vegas Wash Central, Cedar Avenue Channel",Atkins North America,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2014,,02/01/2017
140122-DC,CMAA for Centennial Parkway Channel West Grand Teton Branch,"CM Works, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2014,,
14.26844-DC,CMAR Oakey Meadows Storm Drain Phase 3,Meadow Valley Contractors,BID FILES,,02/26/2014,,
14.26844-DC,CMAR Oakey Meadows Storm Drain Phase 3,Meadow Valley Contractors,BID FILES,,02/26/2014,,
14.26844-DC,CMAR Oakey Meadows Storm Drain Phase 3,Meadow Valley Contractors,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2014,,
140048-SK,US Communities Contract for Car Quest Auto Parts Joinder,Charleston Auto Parts,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/27/2014,,
140128-SK,Huber Filter Screen Parts,"Huber Technology, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/27/2014,,02/27/2018
13.53541.07-TB,WPCF Contractors Parking Lot Paving,"Patriot Contractors, LLC",BID FILES,,03/04/2014,,
13.53541.07-TB,WPCF Contractors Parking Lot Paving,"Patriot Contractors, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/04/2014,,
140130-TF,PSA Pedestrain Safety Upgrades Package 1A Flashers & Signals,Kimley Horn and Associates Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/06/2014,,03/15/2017
140126-JW,PSA for Bus Stop Right of Way,Kimley Horn and Associates Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/04/2014,,04/04/2018
140131-TF,PSA Pedestrain Safety Upgrades - Package 2A Curb Extensions,Parsons Brinckerhoff,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/06/2014,,03/01/2015
13.51111-TF-B,Centennial Parkkway Channel West Grand Teton Branch - Hualapai to TeePee,Meadow Valley Contractors,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/10/2014,,04/30/2015
140023-CW,Collection Agency Services for General Collectibles,Clark County Collection Service LLC,BID FILES,,03/12/2014,,
140023-CW,Collection Agency Services for General Collectibles,Clark County Collection Service LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/12/2014,,
140086-TG,Trash/Recycle Receptacles,"Graber Manufacturing, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/12/2014,,03/12/2018
140086-TG,Trash/Recycle Receptacles,"Graber Manufacturing, Inc.",BID FILES,,03/12/2014,,03/12/2018
14.15341.01-TF,Lorenzi Park Phase 3 Pedal Boat Improvements,"Rafael Construction, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/14/2014,,01/15/2015
14.15341.01-TF,Lorenzi Park Phase 3 Pedal Boat Improvements,"Rafael Construction, Inc.",BID FILES,,03/14/2014,,01/15/2015
12.53541.03-TB-B,CMAR for WPCF Dewatering Wells Upgrade Project,"MMC, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/17/2014,,
140027-JH,Las Vegas Community Centers Performance Contract For Energy Cost Saving,"Ameresco, Inc.",BID FILES,,03/18/2014,,
140027-JH,Las Vegas Community Centers Performance Contract For Energy Cost Saving,"Ameresco, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/18/2014,,
140027-JH,Las Vegas Community Centers Performance Contract For Energy Cost Saving,"Ameresco, Inc.",BID FILES,,03/18/2014,,
14.15341.02-JH,CMAR for Variety Early Learning Center Renovation at Lorenzi Park,CORE Construction Services of Nevada,BID FILES,,03/19/2014,,
14.15341.02-JH,CMAR for Variety Early Learning Center Renovation at Lorenzi Park,CORE Construction Services of Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/19/2014,,
14.15341.02-JH,CMAR for Variety Early Learning Center Renovation at Lorenzi Park,CORE Construction Services of Nevada,BID FILES,,03/19/2014,,
140145-SK,Purchase of Sewer Inspection and Patch Trailer,"West Coast Safety Supply Co., Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/19/2014,,
140082-DG,Pest Control Services,RidPro Pest Control,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/20/2014,,09/30/2016
140082-DG,Pest Control Services,RidPro Pest Control,BID FILES,,03/20/2014,,09/30/2016
140093-CB,Consulting Services for Evaluation of RDA Projects,Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/20/2014,,
